Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fiji,13.98,13.83,20.36,18.60,16.06,14.64,17.45,14.80,16.03,17.36,17.25
French Polynesia,95.81,95.39,91.46,93.14,84.90,73.82,68.09,67.73,95.01,91.82,86.60
Kiribati,9.02,10.41,7.84,7.32,8.27,6.95,9.00,7.73,6.69,8.09,7.83
Micronesia (Federated States of),7.33,7.95,8.78,9.62,6.57,4.84,3.56,3.39,4.24,12.52,12.16
Nauru,,,,,,,,,,8.45,8.45
New Caledonia,227.37,244.03,223.43,239.56,207.67,160.26,172.12,173.94,169.71,166.89,164.62
Papua New Guinea,6.40,5.15,6.09,5.87,7.17,10.17,10.17,9.78,7.10,8.44,9.04
Samoa,20.08,18.01,22.06,21.75,29.52,23.86,30.44,24.41,31.75,65.02,53.37
Solomon Islands,10.35,9.33,9.48,10.35,10.87,11.67,10.93,13.39,14.57,16.13,13.26
Vanuatu,6.60,7.92,6.86,7.10,8.10,9.15,10.56,11.98,10.32,8.85,10.08
