Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Fiji,,,,,0.35,0.41,0.75,0.68,0.71,0.9,2.42,2.31,2.29,2.04,1.94,1.64,1.39,1.48,1.6,1.62,1.66,1.57,1.66,1.56,1.2,2.58,4.7,5.42,5.38,6.38,6.82,6.65,5.42,4.16,5.96,5.59,4.25,4.8,4.86,4.55,5.39,5.52,5.21,5.23,5.37,7.84
 French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
 Kiribati,,,,,3.67,4.12,4.72,6.25,5.95,5.32,12.62,12.82,15.18,9.44,10.19,12.92,12.75,12.62,13,12.58,,,,,,,,,,,0,11.78,10.51,10.19,10.61,10.02,9.37,9.27,9.32,9.12,8.21,9.14,9.59,9.98,10.66,7.55
 Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.39,18.37,16.95,15.18,15.75,13.85,12.86,12.88,13.28,14.32,14.87,14.06,14.28,14.19,13.13,12.68
 Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,6.08,6.24,6.36,6.95,7.31,7.37,7.02,6.37,5.81,5.72,5.69
 Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1.86,8.64,10.85,11.33,12.04,11.77,9.46,5.27,,
 New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,9.12,8.36,8.21,7.7,5.57,6,5.85,5.25,5.74,7.4,7.13,6.78,7.01,7.12,6.77,6.31,6.58,
 Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.8,0.77,0.81,0.85,0.91,1,1.11,1.07,0.92,0.81,0.79,0.76,0.76,0.79,0.84
 Papua New Guinea,,0.92,0.53,0.47,0.4,0.21,0.19,0.26,0.17,0.21,0.23,0.26,0.43,0.27,0.2,0.17,0.55,0.47,0.41,0.36,0.34,0.29,0.28,0.26,0.23,0.21,0.19,0.19,0.2,0.24,0.14,0.05,0.08,0.06,0.04,0.02,0.07,0.07,0.07,0.05,0.02,0.01,0.02,0.02,0.01,0.01
 Samoa,,,,,,,,15.67,17.88,18.31,25.11,28.73,33.12,28.57,33.36,34.19,27.87,30.23,24.04,16.73,18.02,17.72,16.32,15.59,17.26,16.73,16.48,15.62,13.28,0.21,17.53,17.22,16.94,17.6,20.44,20.89,21.65,23.37,21.37,18.57,16.65,16.36,16.31,17.97,18.22,25.3
 Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1.03,1.11,0.93,1.1,2.19,1.5,1.99,2.04,1.31,1.7,1.69,1.61,1.74,1.61,1.22,1.42,1.47,1.1,1.26,1.62,1.78
 Tonga,20.59,17.89,16.23,14.57,14.72,13.31,12.22,13.08,27.07,20.96,36.42,30.6,27.41,15.58,13.98,21.1,14.19,15.57,15.14,,,,,,,,29.16,34.03,28.97,28.37,26.34,26.69,27.4,30.04,26.23,20.18,20.35,19.39,27.22,27.12,29.58,30.02,34.45,37.49,37.16,38.98
 Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,32.21,42.34,27.85,22.57,22.58,16,20.74,19.69,17.81,12.32,11.84,10.18,4.44,3.72,2.91,2.52,2.48,2.25,1.91,0
 Vanuatu,,,,,,,,8.17,6.09,5.86,6.62,6.34,6.07,5.06,4.75,4.86,4.5,6.74,6.01,7.75,2.46,13.61,5.69,2.97,3.59,4.97,7.15,1.56,1.27,1.35,1.29,1.14,1.07,1.51,1.94,1.75,2.83,2.95,3.13,8.3,14.26,10.31,2.97,3.85,8.03,9.92
