Country,Income Group,Region
Algeria,Lower middle income,Middle East & North Africa
Angola,Lower middle income,Sub-Saharan Africa
Argentina,Upper middle income,Latin America & Caribbean
Australia,High income,East Asia & Pacific
Austria,High income,Europe & Central Asia
Azerbaijan,Upper middle income,Europe & Central Asia
Bahrain,High income,Middle East & North Africa
Bangladesh,Lower middle income,South Asia
Belarus,Upper middle income,Europe & Central Asia
Belgium,High income,Europe & Central Asia
Benin,Lower middle income,Sub-Saharan Africa
Bolivia,Lower middle income,Latin America & Caribbean
Botswana,Upper middle income,Sub-Saharan Africa
Brazil,Upper middle income,Latin America & Caribbean
Bulgaria,Upper middle income,Europe & Central Asia
Burkina Faso,Low income,Sub-Saharan Africa
Burundi,Low income,Sub-Saharan Africa
Cambodia,Lower middle income,East Asia & Pacific
Cameroon,Lower middle income,Sub-Saharan Africa
Canada,High income,North America
Chad,Low income,Sub-Saharan Africa
Chile,High income,Latin America & Caribbean
China,Upper middle income,East Asia & Pacific
Colombia,Upper middle income,Latin America & Caribbean
Costa Rica,Upper middle income,Latin America & Caribbean
Czech Republic,High income,Europe & Central Asia
DR Congo,Low income,Sub-Saharan Africa
Denmark,High income,Europe & Central Asia
Dominican Republic,Upper middle income,Latin America & Caribbean
Ecuador,Upper middle income,Latin America & Caribbean
Egypt,Lower middle income,Middle East & North Africa
El Salvador,Lower middle income,Latin America & Caribbean
Ethiopia,Low income,Sub-Saharan Africa
Finland,High income,Europe & Central Asia
France,High income,Europe & Central Asia
Germany,High income,Europe & Central Asia
Ghana,Lower middle income,Sub-Saharan Africa
Greece,High income,Europe & Central Asia
Guatemala,Upper middle income,Latin America & Caribbean
Guinea,Low income,Sub-Saharan Africa
Haiti,Lower middle income,Latin America & Caribbean
Honduras,Lower middle income,Latin America & Caribbean
Hungary,High income,Europe & Central Asia
India,Lower middle income,South Asia
Indonesia,Lower middle income,East Asia & Pacific
Ireland,High income,Europe & Central Asia
Israel,High income,Middle East & North Africa
Italy,High income,Europe & Central Asia
Japan,High income,East Asia & Pacific
Jordan,Upper middle income,Middle East & North Africa
Kazakhstan,Upper middle income,Europe & Central Asia
Kenya,Lower middle income,Sub-Saharan Africa
Kuwait,High income,Middle East & North Africa
Madagascar,Low income,Sub-Saharan Africa
Malawi,Low income,Sub-Saharan Africa
Malaysia,Upper middle income,East Asia & Pacific
Mali,Low income,Sub-Saharan Africa
Mexico,Upper middle income,Latin America & Caribbean
Morocco,Lower middle income,Middle East & North Africa
Mozambique,Low income,Sub-Saharan Africa
Nepal,Lower middle income,South Asia
Netherlands,High income,Europe & Central Asia
New Zealand,High income,East Asia & Pacific
Nicaragua,Lower middle income,Latin America & Caribbean
Niger,Low income,Sub-Saharan Africa
Nigeria,Lower middle income,Sub-Saharan Africa
Norway,High income,Europe & Central Asia
Oman,High income,Middle East & North Africa
Pakistan,Lower middle income,South Asia
Panama,Upper middle income,Latin America & Caribbean
Paraguay,Upper middle income,Latin America & Caribbean
Peru,Upper middle income,Latin America & Caribbean
Philippines,Lower middle income,East Asia & Pacific
Poland,High income,Europe & Central Asia
Portugal,High income,Europe & Central Asia
Qatar,High income,Middle East & North Africa
Romania,Upper middle income,Europe & Central Asia
Russia,Upper middle income,Europe & Central Asia
Rwanda,Low income,Sub-Saharan Africa
Saudi Arabia,High income,Middle East & North Africa
Senegal,Lower middle income,Sub-Saharan Africa
Serbia,Upper middle income,Europe & Central Asia
Sierra Leone,Low income,Sub-Saharan Africa
Singapore,High income,East Asia & Pacific
South Africa,Upper middle income,Sub-Saharan Africa
South Korea,High income,East Asia & Pacific
Spain,High income,Europe & Central Asia
Sudan,Low income,Sub-Saharan Africa
Sweden,High income,Europe & Central Asia
Switzerland,High income,Europe & Central Asia
Tajikistan,Lower middle income,Europe & Central Asia
Tanzania,Lower middle income,Sub-Saharan Africa
Thailand,Upper middle income,East Asia & Pacific
Togo,Low income,Sub-Saharan Africa
Tunisia,Lower middle income,Middle East & North Africa
Turkey,Upper middle income,Europe & Central Asia
Uganda,Low income,Sub-Saharan Africa
United Arab Emirates,High income,Middle East & North Africa
United Kingdom,High income,Europe & Central Asia
United States,High income,North America
Uruguay,High income,Latin America & Caribbean
Uzbekistan,Lower middle income,Europe & Central Asia
